Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1704390300.761132,173690,0,1
1,NewOrder,1704390300.935213,38167,0,1
1,NewOrder,1704390300.973404,54337,0,1
1,NewOrder,1704390301.027763,35913,0,1
1,NewOrder,1704390301.063699,41736,0,1
2,Payment,1704390301.105661,29256,0,1
1,NewOrder,1704390301.134949,29768,0,1
2,Payment,1704390301.164739,41068,0,1
2,Payment,1704390301.206203,21096,0,1
1,NewOrder,1704390301.227324,225261,0,1
2,Payment,1704390301.452647,29458,0,1
2,Payment,1704390301.482133,22787,0,1
1,NewOrder,1704390301.504945,32348,0,1
2,Payment,1704390301.537317,32902,0,1
2,Payment,1704390301.570245,4362,0,1
1,NewOrder,1704390301.574663,40522,0,1
2,Payment,1704390301.615210,31938,0,1
1,NewOrder,1704390301.647172,36036,0,1
3,OrderStatus,1704390301.683233,6568,0,1
2,Payment,1704390301.689824,24030,0,1
5,StockLevel,1704390301.713898,71995,0,1
1,NewOrder,1704390301.785916,31756,0,1
1,NewOrder,1704390301.817697,29214,0,1
1,NewOrder,1704390301.846937,33416,0,1
1,NewOrder,1704390301.880378,33756,0,1
1,NewOrder,1704390301.914158,32380,0,1
4,Delivery,1704390301.946561,92926,0,1
1,NewOrder,1704390302.040151,28275,0,1
1,NewOrder,1704390302.068453,50547,0,1
1,NewOrder,1704390302.119259,37911,0,1
2,Payment,1704390302.157197,33683,0,1
1,NewOrder,1704390302.190905,32761,0,1
4,Delivery,1704390302.223696,64228,0,1
2,Payment,1704390302.287950,9839,0,1
1,NewOrder,1704390302.297813,6566,0,1
1,NewOrder,1704390302.304404,41915,0,1
2,Payment,1704390302.346359,7650,0,1
2,Payment,1704390302.354033,36682,0,1
1,NewOrder,1704390302.390737,37711,0,1
1,NewOrder,1704390302.428475,41248,0,1
2,Payment,1704390302.469753,43012,0,1
1,NewOrder,1704390302.512811,31524,0,1
1,NewOrder,1704390302.544377,34922,0,1
1,NewOrder,1704390302.581927,7728,0,1
2,Payment,1704390302.589683,4132,0,1
1,NewOrder,1704390302.593860,4457,0,1
2,Payment,1704390302.598360,4332,0,1
1,NewOrder,1704390302.602723,30195,0,1
1,NewOrder,1704390302.632947,48929,0,1
2,Payment,1704390302.681919,17472,0,1
1,NewOrder,1704390302.699418,22462,0,1
1,NewOrder,1704390302.721905,35184,0,1
2,Payment,1704390302.757114,30918,0,1
1,NewOrder,1704390302.788057,12876,0,1
1,NewOrder,1704390302.800957,31928,0,1
2,Payment,1704390302.832910,5547,0,1
1,NewOrder,1704390302.838484,41271,0,1
1,NewOrder,1704390302.880310,7506,0,1
1,NewOrder,1704390302.887841,35178,0,1
2,Payment,1704390302.923043,32233,0,1
2,Payment,1704390302.955303,34672,0,1
1,NewOrder,1704390302.990005,31494,0,1
2,Payment,1704390303.021524,35203,0,1
3,OrderStatus,1704390303.056752,3916,0,1
1,NewOrder,1704390303.060848,26369,0,1
2,Payment,1704390303.087247,37899,0,1
1,NewOrder,1704390303.125356,8790,0,1
2,Payment,1704390303.134173,11468,0,1
2,Payment,1704390303.145672,12656,0,1
1,NewOrder,1704390303.158351,28408,0,1
2,Payment,1704390303.186785,57351,0,1
1,NewOrder,1704390303.244162,11149,0,1
1,NewOrder,1704390303.255337,5972,0,1
1,NewOrder,1704390303.261478,7368,0,1
1,NewOrder,1704390303.269161,31519,0,1
1,NewOrder,1704390303.300707,44652,0,1
1,NewOrder,1704390303.345387,29814,0,1
5,StockLevel,1704390303.375226,4114,0,1
5,StockLevel,1704390303.379361,3944,0,1
4,Delivery,1704390303.383328,69102,0,1
5,StockLevel,1704390303.452461,6256,0,1
2,Payment,1704390303.458740,10286,0,1
2,Payment,1704390303.469056,50689,0,1
1,NewOrder,1704390303.519771,32980,0,1
2,Payment,1704390303.552778,35951,0,1
2,Payment,1704390303.588755,30425,0,1
5,StockLevel,1704390303.619206,5027,0,1
1,NewOrder,1704390303.624254,32061,0,1
5,StockLevel,1704390303.656339,4923,0,1
1,NewOrder,1704390303.661284,38024,0,1
2,Payment,1704390303.699333,11086,0,1
1,NewOrder,1704390303.710473,11045,0,1
2,Payment,1704390303.721548,44303,0,1
2,Payment,1704390303.765880,50219,0,1
2,Payment,1704390303.816140,21445,0,1
2,Payment,1704390303.837609,24806,0,1
1,NewOrder,1704390303.862440,37323,0,1
1,NewOrder,1704390303.899790,44049,0,1
1,NewOrder,1704390303.943869,29283,0,1
1,NewOrder,1704390303.973178,36326,0,1
2,Payment,1704390304.009528,3134,0,1
5,StockLevel,1704390304.012683,1489,0,1
1,NewOrder,1704390304.014190,40456,0,1
2,Payment,1704390304.054675,28639,0,1
1,NewOrder,1704390304.083342,37884,0,1
3,OrderStatus,1704390304.121252,4786,0,1
1,NewOrder,1704390304.126059,52844,0,1
3,OrderStatus,1704390304.178929,7706,0,1
1,NewOrder,1704390304.186661,41993,0,1
1,NewOrder,1704390304.228682,36579,0,1
1,NewOrder,1704390304.265320,11763,0,1
1,NewOrder,1704390304.277107,7780,0,1
1,NewOrder,1704390304.284910,31681,0,1
1,NewOrder,1704390304.316638,36766,0,1
2,Payment,1704390304.353429,28385,0,1
2,Payment,1704390304.381839,3473,0,1
5,StockLevel,1704390304.385335,2907,0,1
1,NewOrder,1704390304.388266,69132,0,1
4,Delivery,1704390304.457424,24746,0,1
2,Payment,1704390304.482194,3939,0,1
1,NewOrder,1704390304.486156,28782,0,1
2,Payment,1704390304.514965,22794,0,1
2,Payment,1704390304.537787,37836,0,1
3,OrderStatus,1704390304.575668,5837,0,1
2,Payment,1704390304.581547,22711,0,1
2,Payment,1704390304.604291,23071,0,1
2,Payment,1704390304.627392,37346,0,1
1,NewOrder,1704390304.665376,39935,0,1
1,NewOrder,1704390304.705515,37106,0,1
2,Payment,1704390304.742649,27423,0,1
2,Payment,1704390304.770326,22109,0,1
1,NewOrder,1704390304.792466,38745,0,1
1,NewOrder,1704390304.831237,38543,0,1
2,Payment,1704390304.869807,38950,0,1
1,NewOrder,1704390304.908805,31054,0,1
1,NewOrder,1704390304.939904,38329,0,1
2,Payment,1704390304.978265,41089,0,1
1,NewOrder,1704390305.019402,43824,0,1
1,NewOrder,1704390305.063251,28149,0,1
1,NewOrder,1704390305.091428,38410,0,1
1,NewOrder,1704390305.129866,39277,0,1
2,Payment,1704390305.169170,39703,0,1
2,Payment,1704390305.208898,28411,0,1
1,NewOrder,1704390305.237336,21906,0,1
2,Payment,1704390305.259270,36961,0,1
2,Payment,1704390305.296262,12373,0,1
5,StockLevel,1704390305.308662,3630,0,1
2,Payment,1704390305.312310,22422,0,1
1,NewOrder,1704390305.334757,30966,0,1
2,Payment,1704390305.365748,30506,0,1
1,NewOrder,1704390305.396281,39064,0,1
4,Delivery,1704390305.435372,53951,0,1
1,NewOrder,1704390305.489349,28292,0,1
1,NewOrder,1704390305.517668,10997,0,1
2,Payment,1704390305.528734,4044,0,1
1,NewOrder,1704390305.532805,28903,0,1
1,NewOrder,1704390305.561733,11049,0,1
2,Payment,1704390305.572807,4118,0,1
2,Payment,1704390305.576952,33481,0,1
1,NewOrder,1704390305.610460,35146,0,1
1,NewOrder,1704390305.645633,20691,0,1
2,Payment,1704390305.666353,5736,0,1
1,NewOrder,1704390305.672118,11836,0,1
1,NewOrder,1704390305.683983,11211,0,1
1,NewOrder,1704390305.695242,7051,0,1
5,StockLevel,1704390305.702321,2471,0,1
1,NewOrder,1704390305.704815,27795,0,1
1,NewOrder,1704390305.732640,29248,0,1
1,NewOrder,1704390305.761919,10873,0,1
1,NewOrder,1704390305.772821,26429,0,1
2,Payment,1704390305.799291,29135,0,1
1,NewOrder,1704390305.828452,37073,0,1
2,Payment,1704390305.865551,29319,0,1
2,Payment,1704390305.894893,25783,0,1
2,Payment,1704390305.920704,3428,0,1
2,Payment,1704390305.924156,3744,0,1
2,Payment,1704390305.927920,4010,0,1
2,Payment,1704390305.931954,3522,0,1
1,NewOrder,1704390305.935499,25777,0,1
1,NewOrder,1704390305.961305,5638,0,1
1,NewOrder,1704390305.967232,31408,0,1
1,NewOrder,1704390305.998673,29926,0,1
1,NewOrder,1704390306.028625,10225,0,1
1,NewOrder,1704390306.038876,36883,0,1
2,Payment,1704390306.075790,3861,0,1
2,Payment,1704390306.079676,3747,0,1
1,NewOrder,1704390306.083447,25435,0,1
1,NewOrder,1704390306.108910,30316,0,1
2,Payment,1704390306.139253,3545,0,1
2,Payment,1704390306.142821,3564,0,1
2,Payment,1704390306.146405,4469,0,1
3,OrderStatus,1704390306.150920,2228,0,1
5,StockLevel,1704390306.153168,2124,0,1
1,NewOrder,1704390306.155313,31087,0,1
1,NewOrder,1704390306.186428,30211,0,1
1,NewOrder,1704390306.217309,6778,0,1
2,Payment,1704390306.224135,4878,0,1
1,NewOrder,1704390306.229303,35537,0,1
4,Delivery,1704390306.264865,30590,0,1
2,Payment,1704390306.295481,11682,0,1
1,NewOrder,1704390306.307191,46444,0,1
2,Payment,1704390306.353676,24860,0,1
1,NewOrder,1704390306.378826,43079,0,1
3,OrderStatus,1704390306.421933,5551,0,1
2,Payment,1704390306.427506,8443,0,1
2,Payment,1704390306.436407,27284,0,1
2,Payment,1704390306.463741,49970,0,1
2,Payment,1704390306.513740,14636,0,1
1,NewOrder,1704390306.528405,37458,0,1
2,Payment,1704390306.565891,41824,0,1
2,Payment,1704390306.607742,21825,0,1
1,NewOrder,1704390306.629593,21956,0,1
1,NewOrder,1704390306.651571,31053,0,1
4,Delivery,1704390306.683088,43107,0,1
5,StockLevel,1704390306.726219,1357,0,1
5,StockLevel,1704390306.727593,1054,0,1
1,NewOrder,1704390306.728659,34175,0,1
1,NewOrder,1704390306.762864,32883,0,1
2,Payment,1704390306.795774,32505,0,1
1,NewOrder,1704390306.828626,10866,0,1
2,Payment,1704390306.839518,10965,0,1
2,Payment,1704390306.850510,11768,0,1
1,NewOrder,1704390306.862305,33939,0,1
2,Payment,1704390306.896848,31834,0,1
3,OrderStatus,1704390306.928709,5451,0,1
1,NewOrder,1704390306.934180,29259,0,1
1,NewOrder,1704390306.963467,43233,0,1
1,NewOrder,1704390307.006743,33204,0,1
1,NewOrder,1704390307.040354,32865,0,1
1,NewOrder,1704390307.074112,31484,0,1
1,NewOrder,1704390307.105625,33487,0,1
2,Payment,1704390307.139159,32973,0,1
1,NewOrder,1704390307.172161,33067,0,1
2,Payment,1704390307.205255,33451,0,1
3,OrderStatus,1704390307.238735,4434,0,1
2,Payment,1704390307.243191,28186,0,1
1,NewOrder,1704390307.272120,32674,0,1
2,Payment,1704390307.305189,33703,0,1
1,NewOrder,1704390307.338946,34841,0,1
2,Payment,1704390307.373813,20331,0,1
2,Payment,1704390307.394172,33254,0,1
2,Payment,1704390307.427505,32095,0,1
