Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.000,60.991,24.746,53.951,64.228,69.102,92.926,92.926,92.926,92.926,0.016
5,1.400,45.729,30.590,37.790,43.229,56.688,63.972,63.972,63.972,63.972,0.022
10,2.200,51.252,26.091,35.546,55.993,59.424,65.083,69.685,69.685,69.685,0.020
15,2.000,53.305,17.439,24.215,47.733,61.651,157.481,157.481,157.481,157.481,0.019
20,1.800,48.535,14.788,37.112,51.929,61.303,80.337,80.337,80.337,80.337,0.021
25,2.000,57.923,11.977,51.403,62.066,67.779,86.750,86.750,86.750,86.750,0.017
30,2.800,31.835,11.351,13.615,36.059,44.907,53.044,56.366,56.366,56.366,0.031
35,1.600,40.458,14.213,35.779,41.089,51.634,62.801,62.801,62.801,62.801,0.025
40,1.800,34.064,14.652,24.557,31.048,41.742,73.877,73.877,73.877,73.877,0.029
45,1.600,40.137,25.027,36.427,44.745,47.443,50.934,50.934,50.934,50.934,0.025
50,3.200,35.839,11.674,31.163,34.189,42.519,57.027,58.616,58.616,58.616,0.028
55,2.200,47.565,10.472,33.021,52.088,62.578,64.477,66.230,66.230,66.230,0.021
