Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,32.790,4.457,28.149,32.380,38.410,43.824,50.547,225.261,225.261,0.030
5,18.200,31.223,4.719,27.528,33.204,37.467,44.418,46.795,58.251,58.251,0.032
10,16.000,32.935,2.623,22.069,31.842,39.101,50.149,52.854,229.950,229.950,0.030
15,19.800,30.518,4.146,18.181,32.937,43.244,48.825,52.092,61.090,61.090,0.033
20,22.400,27.123,4.610,13.502,28.893,37.010,42.762,47.057,60.242,183.797,0.037
25,17.600,28.344,4.415,18.688,33.212,39.237,42.864,44.952,48.578,48.578,0.035
30,29.600,21.513,4.101,6.680,20.906,34.014,41.100,45.067,48.180,49.220,0.046
35,21.000,27.081,4.337,10.369,32.187,36.574,44.244,45.350,54.979,58.982,0.037
40,35.000,19.524,2.041,6.074,11.069,32.631,40.530,43.776,56.530,174.048,0.051
45,34.400,19.992,2.211,6.192,13.168,34.920,40.672,44.219,54.548,56.059,0.050
50,31.600,19.145,2.455,6.066,16.007,31.977,36.400,40.828,54.757,55.664,0.052
55,22.200,24.736,3.184,9.696,29.957,35.972,40.723,44.185,46.977,49.341,0.040
