Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.000,5.763,3.916,4.786,5.837,6.568,7.706,7.706,7.706,7.706,0.174
5,1.800,6.412,2.228,4.434,5.148,5.451,21.337,21.337,21.337,21.337,0.156
10,1.400,3.097,0.748,1.678,3.587,3.699,4.762,4.762,4.762,4.762,0.323
15,1.200,3.059,1.268,1.475,2.496,5.003,5.850,5.850,5.850,5.850,0.327
20,2.200,3.267,1.882,2.626,3.130,3.868,4.521,4.597,4.597,4.597,0.306
25,1.600,3.310,2.881,3.132,3.360,3.570,3.742,3.742,3.742,3.742,0.302
30,3.200,1.886,0.471,0.614,1.500,3.366,3.844,4.335,4.335,4.335,0.530
35,1.400,1.695,0.555,0.859,1.184,2.887,2.949,2.949,2.949,2.949,0.590
40,2.400,1.257,0.402,0.559,0.842,1.077,3.455,4.228,4.228,4.228,0.796
45,4.000,1.291,0.452,0.580,0.805,1.040,3.089,5.361,5.361,5.361,0.775
50,3.000,1.087,0.481,0.588,0.763,0.881,2.727,4.491,4.491,4.491,0.920
55,1.000,3.725,2.855,3.278,3.656,4.007,4.831,4.831,4.831,4.831,0.268
