Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.000,27.720,3.134,12.373,28.411,36.682,43.012,50.689,173.690,173.690,0.036
5,17.200,20.447,2.893,8.459,21.897,32.095,37.155,40.056,49.970,49.970,0.049
10,19.000,18.237,2.951,4.840,9.687,28.298,37.626,47.440,199.809,199.809,0.055
15,16.800,16.602,3.191,3.978,9.652,32.421,39.388,40.747,45.801,45.801,0.060
20,19.000,15.415,2.996,3.899,9.404,30.395,36.506,39.156,45.607,45.607,0.065
25,16.800,21.941,2.958,8.409,21.771,34.504,40.847,43.588,50.077,50.077,0.046
30,26.400,10.197,2.661,3.150,3.545,11.369,31.076,35.303,43.977,50.400,0.098
35,21.600,16.648,2.595,3.775,10.485,30.878,36.686,38.711,44.174,46.287,0.060
40,28.000,8.399,2.460,3.081,3.351,4.963,31.522,36.141,40.716,43.964,0.119
45,27.800,8.492,2.437,3.133,3.374,5.059,28.665,31.599,40.256,46.019,0.118
50,32.400,8.391,2.491,3.096,3.267,5.084,31.393,34.122,37.645,45.187,0.119
55,18.000,18.035,2.658,3.646,11.476,31.104,37.042,38.583,61.030,61.030,0.055
