Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,10.676,1.489,2.907,4.114,5.027,71.995,71.995,71.995,71.995,0.094
5,1.200,2.355,1.054,1.357,2.124,3.392,4.568,4.568,4.568,4.568,0.425
10,1.400,3.649,2.198,2.198,3.248,4.487,7.106,7.106,7.106,7.106,0.274
15,2.000,2.880,1.173,1.976,3.408,3.979,4.323,4.323,4.323,4.323,0.347
20,1.600,2.601,0.738,1.572,3.223,4.137,4.491,4.491,4.491,4.491,0.384
25,1.400,4.416,0.613,1.836,2.830,7.320,12.237,12.237,12.237,12.237,0.226
30,2.200,2.256,0.714,1.721,1.907,3.626,3.746,4.156,4.156,4.156,0.443
35,2.000,2.384,0.666,1.762,2.740,3.276,4.080,4.080,4.080,4.080,0.420
40,4.200,1.874,0.848,1.423,1.784,2.058,3.314,3.467,3.484,3.484,0.534
45,2.200,2.747,1.698,2.234,2.380,3.295,3.440,5.100,5.100,5.100,0.364
50,3.000,2.827,1.407,1.715,1.998,3.108,3.877,10.589,10.589,10.589,0.354
55,2.000,2.494,1.380,1.611,2.880,3.160,4.708,4.708,4.708,4.708,0.401
