Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.600,29.698,1.489,11.468,30.506,37.899,44.303,54.337,173.690,225.261,0.034
5,39.800,25.084,1.054,10.110,29.303,35.537,43.671,46.444,58.251,63.972,0.040
10,40.000,24.892,0.748,7.383,22.270,34.536,48.142,55.685,199.809,229.950,0.040
15,41.800,23.904,1.173,6.813,21.883,38.758,45.801,50.007,61.651,157.481,0.042
20,47.000,21.259,0.738,5.027,16.352,33.971,40.064,45.607,76.666,183.797,0.047
25,39.400,25.248,0.613,7.712,28.907,37.896,43.807,48.578,79.569,86.750,0.040
30,64.200,15.672,0.471,3.441,7.167,30.348,38.131,43.043,50.400,56.366,0.064
35,47.600,21.012,0.555,4.631,21.969,34.953,41.095,44.746,54.979,62.801,0.048
40,71.400,13.876,0.402,3.250,5.875,23.510,36.523,40.958,50.230,174.048,0.072
45,70.000,14.275,0.452,3.297,6.014,25.832,38.804,42.362,50.934,56.059,0.070
50,73.200,13.706,0.481,3.186,5.545,26.718,35.103,38.132,54.757,58.616,0.073
55,45.400,21.743,1.380,5.898,21.565,34.860,40.723,46.129,62.578,66.230,0.046
