Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,21,21.000,4362,29256,32902,48725,41068,71995,173690,225261,225261
1,32,32.000,4132,22462,32761,31179,37911,48929,64228,92926,92926
2,40,40.000,3916,8790,29814,24386,35203,44652,57351,69102,69102
3,37,37.000,1489,11763,28639,27091,37346,44049,52844,69132,69132
4,38,38.000,2471,11836,28903,26064,38410,39703,43824,53951,53951
5,49,49.000,1054,4469,24860,20353,31053,41824,43107,49970,49970
6,36,36.000,4434,21606,32674,28506,33703,43233,46795,47108,47108
7,36,36.000,4119,20787,30746,27527,34875,44386,56688,58251,58251
8,32,32.000,3392,25977,35919,31497,43671,44418,48228,63972,63972
9,46,46.000,1633,6045,21337,21070,37155,40816,44864,51537,51537
10,44,44.000,2198,7863,26734,23136,29094,37968,49664,73184,73184
11,40,40.000,748,10369,30728,24598,35071,44248,47113,50149,50149
12,42,42.000,1678,6418,15119,25537,34352,51392,57834,229950,229950
13,33,33.000,3663,9094,16492,27656,34536,52854,65083,199809,199809
14,41,41.000,2198,5420,10714,24174,44436,51914,54204,59424,59424
15,36,36.000,3979,14218,31916,28368,41325,47604,49186,61651,61651
16,48,48.000,1268,4054,9652,21105,34358,47736,58730,157481,157481
17,48,48.000,1173,3978,9149,19742,34451,48825,56729,67290,67290
18,40,40.000,2553,11037,26551,25814,39810,44548,47104,61090,61090
19,37,37.000,2164,12581,31688,26526,36909,45368,47733,52092,52092
20,34,34.000,3440,17382,32498,29224,37679,42895,60242,76666,76666
21,40,40.000,3075,6527,29707,25123,38664,45607,50454,80337,80337
22,66,66.000,738,3652,6840,15066,29092,36870,39156,44525,44525
23,55,55.000,1285,4630,11029,18056,32330,42762,51929,61303,61303
24,40,40.000,2432,8403,23623,25241,33787,40064,54695,183797,183797
25,37,37.000,2234,14794,29631,27670,37896,43385,56258,79569,79569
26,40,40.000,613,7620,32988,24259,39270,43922,46295,62066,62066
27,47,47.000,1836,5605,18688,21784,36151,42763,44265,86750,86750
28,42,42.000,2881,6088,22980,23472,34924,45343,54878,67779,67779
29,31,31.000,6235,26827,36992,31290,39237,46944,50077,51403,51403
30,79,79.000,519,3441,6503,12758,15805,35129,42105,47752,47752
31,49,49.000,1882,4335,13133,20257,34827,41698,48180,56366,56366
32,80,80.000,552,3294,5381,12437,24222,33553,35303,40733,40733
33,69,69.000,471,3195,6068,14747,31135,37390,44549,52486,52486
34,44,44.000,1721,7675,22106,23123,38943,43525,47951,50400,50400
35,35,35.000,3095,10760,31914,27541,35980,44174,54979,62801,62801
36,46,46.000,2535,6087,26877,22260,36317,40207,41089,51634,51634
37,63,63.000,1773,4131,7492,15451,31618,35920,43867,58982,58982
38,45,45.000,555,6854,26414,22441,35736,44746,45350,45837,45837
39,49,49.000,859,3316,24115,21013,36410,43596,44244,49773,49773
40,75,75.000,836,3204,4905,12832,15431,34780,37346,174048,174048
41,66,66.000,402,3237,6058,15072,31377,40530,42248,44499,44499
42,90,90.000,848,3061,4963,11075,15852,32086,38129,50230,50230
43,92,92.000,511,3189,5557,11138,11526,36523,40260,56530,56530
44,34,34.000,3314,22180,32422,28671,36435,43776,47683,73877,73877
45,36,36.000,2709,22176,30275,28587,38959,47428,50934,51350,51350
46,70,70.000,469,3202,5388,13898,28288,34920,40169,46019,46019
47,86,86.000,519,3374,5484,11934,17619,36434,40672,54548,54548
48,73,73.000,2257,3391,6290,13275,17795,37804,45004,56059,56059
49,85,85.000,452,3197,3737,11749,21909,36109,39815,46688,46688
50,79,79.000,497,3108,4712,12849,22114,35551,40828,58616,58616
51,32,32.000,2727,32178,33381,31245,34885,37296,46610,57027,57027
52,92,92.000,536,3143,4674,10777,13684,31393,38997,54757,54757
53,89,89.000,481,3153,5372,11088,18808,31947,34658,55664,55664
54,74,74.000,922,3502,5946,13824,28500,35464,36957,44731,44731
55,44,44.000,1524,6120,22134,22209,33780,40022,46977,66230,66230
56,39,39.000,2855,6282,31045,25600,35610,43874,53781,62578,62578
57,49,49.000,1632,5122,17648,21065,35066,41651,46129,54011,54011
58,65,65.000,1380,3746,8134,14893,28544,35243,39770,52088,52088
59,30,30.000,3020,28196,34348,31987,40157,49341,51941,64477,64477
