Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1704304336.106817,41476,0,1
1,NewOrder,1704304336.148367,53994,0,1
2,Payment,1704304336.202385,42859,0,1
2,Payment,1704304336.245271,21758,0,1
2,Payment,1704304336.267054,21789,0,1
1,NewOrder,1704304336.288869,22758,0,1
2,Payment,1704304336.311656,99121,0,1
1,NewOrder,1704304336.410802,23169,0,1
2,Payment,1704304336.434811,36167,0,1
1,NewOrder,1704304336.471016,36634,0,1
1,NewOrder,1704304336.507676,39309,0,1
1,NewOrder,1704304336.547017,42648,0,1
2,Payment,1704304336.589702,34608,0,1
1,NewOrder,1704304336.624340,38897,0,1
2,Payment,1704304336.663262,4554,0,1
1,NewOrder,1704304336.667841,19119,0,1
2,Payment,1704304336.686985,22157,0,1
1,NewOrder,1704304336.709167,36780,0,1
1,NewOrder,1704304336.745976,29791,0,1
2,Payment,1704304336.775792,5069,0,1
1,NewOrder,1704304336.780886,5887,0,1
5,StockLevel,1704304336.786793,94047,0,1
2,Payment,1704304336.880864,12533,0,1
1,NewOrder,1704304336.893423,6232,0,1
1,NewOrder,1704304336.899682,33070,0,1
2,Payment,1704304336.932791,47300,0,1
5,StockLevel,1704304336.980123,6105,0,1
1,NewOrder,1704304336.986526,35669,0,1
1,NewOrder,1704304337.022220,37457,0,1
2,Payment,1704304337.059705,41459,0,1
2,Payment,1704304337.101193,29200,0,1
2,Payment,1704304337.130426,14643,0,1
5,StockLevel,1704304337.145097,5087,0,1
2,Payment,1704304337.150212,24553,0,1
2,Payment,1704304337.174792,26060,0,1
2,Payment,1704304337.200878,18006,0,1
4,Delivery,1704304337.218910,54446,0,1
1,NewOrder,1704304337.273380,33679,0,1
1,NewOrder,1704304337.307083,37807,0,1
1,NewOrder,1704304337.344928,29143,0,1
5,StockLevel,1704304337.374096,3407,0,1
2,Payment,1704304337.377528,33825,0,1
1,NewOrder,1704304337.411379,28549,0,1
1,NewOrder,1704304337.440665,37733,0,1
2,Payment,1704304337.478429,45685,0,1
2,Payment,1704304337.524143,26940,0,1
1,NewOrder,1704304337.551111,63501,0,1
