Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.200,32.857,11.773,24.933,35.028,40.378,44.580,54.446,54.446,54.446,0.030
5,2.800,40.573,24.885,30.704,32.934,45.279,55.774,100.575,100.575,100.575,0.025
10,2.000,50.512,31.823,33.179,52.091,52.463,85.036,85.036,85.036,85.036,0.020
15,2.600,44.717,12.040,32.211,40.011,57.812,63.492,92.750,92.750,92.750,0.022
20,2.800,46.410,32.772,33.985,46.726,59.618,62.495,65.498,65.498,65.498,0.022
25,3.600,43.269,14.046,37.804,42.555,48.324,61.807,76.900,76.900,76.900,0.023
30,2.800,41.369,31.563,35.007,41.932,44.746,53.965,56.742,56.742,56.742,0.024
35,1.800,43.018,25.496,33.658,38.284,57.419,61.636,61.636,61.636,61.636,0.023
40,1.200,36.177,18.847,30.320,35.614,43.840,53.458,53.458,53.458,53.458,0.028
45,2.800,47.266,28.435,32.182,51.782,63.310,65.885,66.981,66.981,66.981,0.021
50,1.800,41.696,11.213,32.487,48.588,55.347,59.654,59.654,59.654,59.654,0.024
55,1.800,45.030,12.734,37.978,51.368,57.336,59.565,59.565,59.565,59.565,0.022
