Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.000,28.672,5.510,21.293,30.561,37.297,42.661,46.442,63.501,63.501,0.035
5,25.600,23.126,1.898,7.073,23.606,34.652,40.725,52.110,67.485,70.404,0.043
10,19.200,27.973,4.443,22.278,30.936,36.093,38.936,42.381,45.360,45.360,0.036
15,25.600,24.892,1.796,10.626,29.481,35.560,41.542,45.585,54.034,63.418,0.040
20,20.200,27.976,2.662,11.700,31.874,38.547,44.047,44.986,58.490,60.959,0.036
25,29.400,20.829,4.034,6.031,14.381,35.531,40.683,43.695,51.958,55.935,0.048
30,26.000,21.135,4.499,6.210,21.607,33.781,39.675,42.847,47.054,62.884,0.047
35,23.200,25.716,4.090,9.818,29.241,36.554,43.616,45.005,56.915,75.394,0.039
40,22.800,24.024,4.021,8.675,26.455,33.836,39.960,44.426,51.909,57.878,0.042
45,22.000,26.072,2.379,10.449,27.366,35.386,42.607,57.328,63.977,80.042,0.038
50,20.600,28.868,4.155,22.178,32.002,37.431,44.731,45.584,55.418,56.633,0.035
55,21.800,24.596,3.603,10.617,27.800,36.266,41.512,44.117,45.944,51.617,0.041
