Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.200,4.511,1.322,3.702,4.608,5.545,5.649,7.635,7.635,7.635,0.222
5,3.000,2.066,0.798,1.036,1.413,3.913,4.629,4.716,4.716,4.716,0.484
10,1.600,3.398,0.818,3.104,3.233,3.967,6.426,6.426,6.426,6.426,0.294
15,1.400,1.947,0.766,0.917,1.210,3.423,3.812,3.812,3.812,3.812,0.514
20,2.000,2.821,0.621,1.661,3.380,3.708,4.615,4.615,4.615,4.615,0.355
25,3.200,1.052,0.463,0.651,0.891,0.980,1.552,4.373,4.373,4.373,0.951
30,2.000,1.178,0.462,0.838,0.920,1.075,4.094,4.094,4.094,4.094,0.849
35,2.000,2.436,0.503,0.657,2.888,3.405,4.338,4.338,4.338,4.338,0.411
40,2.200,2.319,0.475,0.591,2.680,3.695,3.784,5.178,5.178,5.178,0.431
45,2.000,1.123,0.569,0.722,0.977,1.137,3.120,3.120,3.120,3.120,0.890
50,1.800,2.928,0.570,0.793,2.946,3.972,7.211,7.211,7.211,7.211,0.342
55,2.200,3.596,0.589,2.912,3.429,3.934,3.981,9.978,9.978,9.978,0.278
