Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.600,15.383,1.879,3.937,4.532,6.105,94.047,94.047,94.047,94.047,0.065
5,1.800,2.327,1.138,1.441,1.483,2.645,6.506,6.506,6.506,6.506,0.430
10,1.200,2.745,1.480,2.375,3.206,3.209,3.219,3.219,3.219,3.219,0.364
15,1.800,2.373,1.093,1.633,1.944,3.031,5.132,5.132,5.132,5.132,0.421
20,1.600,3.015,1.257,1.631,3.509,4.369,5.111,5.111,5.111,5.111,0.332
25,2.200,2.350,1.301,1.461,1.931,3.295,3.633,4.780,4.780,4.780,0.425
30,2.200,1.809,1.167,1.349,1.590,1.710,1.849,4.699,4.699,4.699,0.553
35,1.400,1.905,1.099,1.221,1.603,2.664,3.614,3.614,3.614,3.614,0.525
40,2.200,3.164,1.151,2.291,3.074,4.656,4.779,5.036,5.036,5.036,0.316
45,2.000,4.070,1.051,2.237,3.957,4.615,10.622,10.622,10.622,10.622,0.246
50,2.600,2.660,0.748,1.420,2.376,3.744,5.036,5.600,5.600,5.600,0.376
55,2.800,2.702,0.832,1.499,2.907,4.099,4.724,4.960,4.960,4.960,0.370
