Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,42.000,23.846,1.322,10.327,23.169,34.608,42.648,45.883,63.501,99.121,0.042
5,60.400,16.456,0.798,3.639,7.435,29.965,37.451,41.903,63.751,100.575,0.061
10,43.600,22.924,0.818,6.520,27.420,34.224,37.998,42.381,52.463,85.036,0.044
15,50.400,19.820,0.766,4.894,12.994,33.100,40.142,45.892,63.418,92.750,0.050
20,43.600,23.013,0.621,6.111,29.091,34.817,43.590,46.726,60.959,65.498,0.043
25,65.800,15.111,0.463,3.577,5.831,30.219,39.612,42.782,55.935,76.900,0.066
30,62.800,16.005,0.462,3.370,7.372,30.063,38.116,42.207,53.838,62.884,0.062
35,49.600,20.063,0.503,4.796,15.978,33.917,39.661,44.893,58.098,75.394,0.050
40,52.600,19.011,0.475,4.540,18.466,32.213,38.661,43.254,51.909,57.878,0.053
45,46.400,21.504,0.569,4.925,20.469,33.468,42.234,55.460,65.885,80.042,0.047
50,45.800,21.688,0.570,5.990,22.707,33.944,42.511,45.390,55.438,59.654,0.046
55,47.200,20.114,0.589,5.013,17.988,33.532,40.116,44.338,57.573,83.731,0.050
