Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,31,31.000,4554,21758,34608,32955,41459,47300,94047,99121,99121
1,37,37.000,2817,18006,27784,27028,37522,44672,54446,63501,63501
2,52,52.000,2912,8678,18864,18999,28975,37297,39450,42661,42661
3,39,39.000,3702,8398,30155,25447,36020,45883,47624,48926,48926
4,51,51.000,1322,6291,18653,19717,33449,35028,40268,52493,52493
5,57,57.000,1047,4048,10822,17456,31916,39092,41903,50239,50239
6,34,34.000,1438,11014,30016,28999,38948,60951,67485,70404,70404
7,66,66.000,798,3422,5111,15042,27171,38471,39402,100575,100575
8,68,68.000,883,3543,10937,14892,23606,34065,36281,52312,52312
9,77,77.000,1078,3439,5365,12769,20962,34495,37149,56374,56374
10,33,33.000,2980,27848,32575,30574,34290,36162,52345,83769,83769
11,36,36.000,2851,21764,31542,28255,35809,36901,42799,85036,85036
12,44,44.000,3010,5922,22921,22054,35902,37882,42381,52091,52091
13,36,36.000,3104,22182,29855,27822,38607,40247,44328,52463,52463
14,69,69.000,818,3605,7602,14482,27221,31823,36627,42502,42502
15,33,33.000,1210,19617,31493,30478,35622,49772,63418,92750,92750
16,62,62.000,766,3590,10859,16068,32154,34248,36605,40011,40011
17,75,75.000,1507,3371,5264,13417,28535,35656,36714,55579,55579
18,38,38.000,3031,11688,29481,26426,37677,41554,42130,63492,63492
19,44,44.000,2501,6026,14033,22319,43168,50660,54517,59133,59133
20,49,49.000,1257,8367,17121,20864,33405,40870,42196,43352,43352
21,35,35.000,1065,10221,31583,27772,36113,43973,46726,59618,59618
22,54,54.000,1631,4193,6865,19026,34529,44047,58490,62495,62495
23,43,43.000,3442,7703,29285,23466,38155,44986,45589,51958,51958
24,37,37.000,621,7317,32226,26647,34746,42741,60414,65498,65498
25,37,37.000,3154,5740,31396,26599,38346,49071,61807,76900,76900
26,47,47.000,506,4855,25170,21827,33927,40370,43045,59272,59272
27,90,90.000,463,3398,4973,10880,11978,36158,40067,43695,43695
28,68,68.000,536,3711,6034,14853,30087,40173,43798,51958,51958
29,87,87.000,891,3389,4406,11173,11449,35981,41417,50925,50925
30,47,47.000,3052,5105,22191,21363,30157,37886,44746,46740,46740
31,113,113.000,839,3138,4194,8765,7169,30063,33985,41932,43200
32,67,67.000,462,3151,5181,15163,31413,37855,41225,53965,53965
33,29,29.000,8470,28103,36065,34232,39227,46571,53838,62884,62884
34,58,58.000,920,4699,10974,17622,31538,38661,44294,56742,56742
35,47,47.000,503,4090,22339,20925,33523,40475,45005,49177,49177
36,35,35.000,2888,11898,30786,28567,39004,44893,58098,61636,61636
37,73,73.000,604,3772,6363,13488,23191,35757,37891,44902,44902
38,48,48.000,1603,3785,19960,20736,35804,44002,48638,75394,75394
39,45,45.000,2664,10515,24094,22496,34122,38101,42880,56915,56915
40,42,42.000,2403,7937,26262,23368,31478,36448,39884,51909,51909
41,45,45.000,2291,7883,22540,22811,33554,39831,43513,46491,46491
42,66,66.000,629,3819,6593,14852,28635,37341,39094,46164,46164
43,56,56.000,475,3784,12628,17958,33836,38661,43951,50108,50108
44,54,54.000,483,4779,16857,18628,31794,41460,43840,57878,57878
45,40,40.000,1441,11016,31771,24993,33519,41318,42607,62276,62276
46,58,58.000,739,3982,10723,16833,28747,41646,43275,52631,52631
47,40,40.000,569,6925,22747,25072,37247,55460,63395,63460,63460
48,46,46.000,1109,6218,23259,21467,32340,40423,42220,66981,66981
49,48,48.000,722,3595,11034,21302,34524,57328,63977,80042,80042
50,55,55.000,570,4018,10814,18004,32002,41907,55347,59654,59654
51,46,46.000,748,5852,24231,21664,34968,39257,42395,44731,44731
52,57,57.000,793,3760,10440,17587,32129,39126,45338,50756,50756
53,39,39.000,3038,10038,31363,25794,34520,45390,46893,56633,56633
54,32,32.000,6410,25163,31247,30348,35776,44815,50437,55418,55418
55,42,42.000,2882,11978,26392,23853,32961,37592,38500,59565,59565
56,48,48.000,589,4824,19299,21220,36484,44512,45944,57573,57573
57,40,40.000,832,10734,30913,24905,36037,43606,54237,57336,57336
58,48,48.000,856,3788,19056,20798,35684,41512,45873,83731,83731
59,58,58.000,1528,3603,6930,12620,13765,33202,43032,44117,44117
